NAME,PRICE,CUSINE_CATEGORY,CITY,REGION,URL,PAGE NO,CUSINE TYPE,TIMING,RATING_TYPE,RATING,VOTES,
Ice Cream Works,150,Ice Cream,Mumbai,Panch Pakhadi-- Thane West,https://www.zomato.com/mumbai/ice-cream-works-panch-pakhadi-thane-west-thane/info,116,Dessert Parlor,11am to 130am(Mon-Sun),Good,3.7,13,
China Town,400,Chinese,Mumbai,Goregaon East,https://www.zomato.com/mumbai/china-town-1-goregaon-east/info,116,Casual Dining,1pm to 1am(Mon-Sun),Average,3.2,13,
NAME,PRICE,CUSINE_CATEGORY,CITY,REGION,URL,PAGE NO,CUSINE TYPE,TIMING,RATING_TYPE,RATING,VOTES,
Kulfi Shakes - By The Foodie Nawab,300,Desserts,,,,,,,,,,
Planet Food,500,North Indian,Mumbai,4 Bungalows,https://www.zomato.com/mumbai/planet-food-4-bungalows/info,117,Quick Bites,11am to 5am(Mon-Sun),Not rated,-,-,
Chandok Shubham Fast Food,300,Chinese,Mumbai,Sion,https://www.zomato.com/mumbai/chandok-shubham-fast-food-sion/info,117,Quick Bites,5pm to 1230AM(Mon-Sun),None,NEW,NEW,
Chaudhary Tadka,450,North Indian,,,,,,,,,,
Sardarji'S Kitchen,500,North Indian,Mumbai,Ulwe,https://www.zomato.com/mumbai/sardarjis-kitchen-ulwe-navi-mumbai/info,117,Quick Bites,11am to 330pm,,,,
D Katta Family Restaurant,400,North Indian,,,,,,,,,,
Dhadoom,700,North Indian,,,,,,,,,,
Bombay Sandwich Company,400,Sandwich,,,,,,,,,,
Pachinco,400,Coffee,,,,,,,,,,
The London Shakes,400,Beverages,,,,,,,,,,
Punjabi Grill,400,North Indian,Mumbai,Malad West,https://www.zomato.com/mumbai/punjabi-grill-malad-west/info,117,Quick Bites,1pm to 4pm,,,,
iStreetFood,300,Street Food,,,,,,,,,,
Classic,500,North Indian,,,,,,,,,,
Sip-N-Dine,600,North Indian,,,,,,,,,,
Zaytoni,700,Chinese,,,,,,,,,,
NAME,PRICE,CUSINE_CATEGORY,CITY,REGION,URL,PAGE NO,CUSINE TYPE,TIMING,RATING_TYPE,RATING,VOTES,
Kirti Mahal,600,South Indian,,,,,,,,,,
Utsav Cuisine,800,North Indian,,,,,,,,,,
Lucky Dragon,900,Chinese,Mumbai,Mahim,https://www.zomato.com/mumbai/lucky-dragon-mahim/info,118,Casual Dining,Closed(Mon),,,,
Cantonese,550,Chinese,Mumbai,Naupada-- Thane West,https://www.zomato.com/mumbai/cantonese-naupada-thane-west/info,118,Casual Dining,1130am to 1130pm(Mon-Sun),Very Good,4,827,
Viagoa,800,Seafood,,,,,,,,,,
Zesty Kitchen,600,North Indian,,,,,,,,,,
Dosti Yaari,300,Continental,,,,,,,,,,
212 All Good,1000,European,,,,,,,,,,
Benzy's Restaurant,800,North Indian,,,,,,,,,,
Asian Spices The Restaurant,500,Chinese,,,,,,,,,,
Hotel Sunny,700,Kerala,,,,,,,,,,
Between Breads,1000,Cafe,,,,,,,,,,
Chill'Antro,600,Asian,,,,,,,,,,
Ice Cream Works,300,Desserts,,,,,,,,,,
Via Bombay,1500,North Indian,,,,,,,,,,
NAME,PRICE,CUSINE_CATEGORY,CITY,REGION,URL,PAGE NO,CUSINE TYPE,TIMING,RATING_TYPE,RATING,VOTES,
Asian Street Kitchen,1200,Chinese,,,,,,,,,,
Soy Street,1100,Asian,,,,,,,,,,
101's Maggie,200,Fast Food,Mumbai,Kandivali East,https://www.zomato.com/mumbai/101s-maggie-kandivali-east/info,119,Quick Bites,9am to 10pm(Mon-Sun),None,NEW,NEW,
Light Of Bharat,600,North Indian,,,,,,,,,,
Cafe Hydro,1000,Asian,Mumbai,Borivali East,https://www.zomato.com/mumbai/cafe-hydro-borivali-east/info,119,Casual Dining,12noon to 1130pm(Mon-Sun),Good,3.9,1276,
Invento,1200,Chinese,,,,,,,,,,
Booze on Moods - The Bistro Bar,1300,Chinese,,,,,,,,,,
Kampa,700,Chinese,,,,,,,,,,
